City_ID,City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed,Hotel Name
0,Anloga,GH,5.7947,0.8973,few clouds,79,78.31,22,4.07,Hotel de White House
12,New Norfolk,AU,-42.7826,147.0587,scattered clouds,23,84.9,45,3.0,Rosie's Inn
18,Avarua,CK,-21.2078,-159.775,light rain,94,78.85,100,6.91,Natura Nikao Beach Bungalow
23,Kapaa,US,22.0752,-159.319,scattered clouds,84,75.18,29,4.0,Sheraton Kauai Coconut Beach Resort
29,Pemangkat,ID,1.1667,108.9667,broken clouds,70,83.35,69,7.61,Hotel Duyung Permai 2
31,Rikitea,PF,-23.1203,-134.9692,light rain,77,78.75,75,15.82,Chez Bianca & Benoit
40,Hobart,AU,-42.8794,147.3294,few clouds,54,84.27,20,13.8,Hotel Grand Chancellor Hobart
41,Sabang,ID,5.8933,95.3214,overcast clouds,68,79.07,97,1.63,Sabang Hill
44,Vaini,TO,-21.2,-175.2,broken clouds,79,87.96,75,6.91,Keleti International Resort
47,Mahebourg,MU,-20.4081,57.7,light rain,78,81.25,75,3.44,Preskil Island Resort
48,Hilo,US,19.7297,-155.09,clear sky,91,76.28,4,1.01,Dolphin Bay Hotel
50,Oistins,BB,13.0667,-59.5333,broken clouds,78,78.89,75,13.8,Little Arches Boutique Hotel
55,Atuona,PF,-9.8,-139.0333,few clouds,74,78.49,12,13.33,Pearl Resort
63,Marang,MY,5.2056,103.2059,broken clouds,75,83.97,62,4.34,Hotel Syahirah
65,Touros,BR,-5.1989,-35.4608,clear sky,76,77.79,5,9.48,Pousada Atlântico
90,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,few clouds,38,75.85,20,5.66,Hotel Gualok
103,Saint-Philippe,RE,-21.3585,55.7679,broken clouds,77,81.99,78,10.22,Le Baril
106,Port Hedland,AU,-20.3167,118.5667,clear sky,62,89.65,6,11.5,Hospitality Port Hedland
108,Vaitape,PF,-16.5167,-151.75,light rain,71,80.71,100,14.27,Conrad Bora Bora Nui
110,Camocim,BR,-2.9022,-40.8411,broken clouds,80,76.19,57,9.24,Camocim Praia Hotel
113,Angoche,MZ,-16.2325,39.9086,scattered clouds,82,79.02,48,4.81,Hotel Quirimbas
120,Hambantota,LK,6.1241,81.1185,few clouds,69,80.94,20,11.5,Peacock Beach hotel Hamabthota
123,Grand-Lahou,CI,5.1367,-5.0242,scattered clouds,89,76.89,39,1.61,Cap Lahou
126,Charlestown,AU,-32.95,151.6667,few clouds,61,80.02,13,3.0,Warners Bay Hotel
133,Cooma,AU,-36.2333,149.1333,few clouds,25,86.07,16,6.96,Royal Hotel
135,Kalmunai,LK,7.4167,81.8167,overcast clouds,68,77.5,97,10.07,Sakkaryya Hotel and Restaurant
136,Mayumba,GA,-3.432,10.6554,light rain,89,76.5,82,5.82,Mbidia Koukou
137,Mtwara,TZ,-10.2667,40.1833,moderate rain,94,76.33,20,11.5,Victoria Hotel
142,Hithadhoo,MV,-0.6,73.0833,broken clouds,76,81.5,67,12.59,Pebbles Inn
146,Port Blair,IN,11.6667,92.75,few clouds,58,84.24,20,11.5,Hornbill Nest resort
147,Wewak,PG,-3.5534,143.6268,broken clouds,76,83.17,78,5.3,Boutique Hotel
170,Georgetown,MY,5.4112,100.3354,few clouds,74,89.53,20,3.44,Super 8
175,Lorengau,PG,-2.0226,147.2712,moderate rain,77,82.71,100,6.76,Seeadler Bay Hotel
180,Port Lincoln,AU,-34.7333,135.8667,few clouds,45,77.43,12,11.43,Grand Tasman
194,Bloemhof,ZA,-27.6469,25.607,clear sky,26,76.24,3,4.99,Riverside Resort
199,Dabhol,IN,17.6,73.1667,clear sky,22,82.38,3,1.61,Virgin Winds
201,Vila Velha,BR,-20.3297,-40.2925,overcast clouds,94,76.95,100,5.99,Hostess Hotel
202,Salinopolis,BR,-0.6136,-47.3561,overcast clouds,84,78.42,100,11.05,Hotel Salinópolis
216,Faanui,PF,-16.4833,-151.75,light rain,72,80.65,100,14.36,Four Seasons Resort Bora Bora
237,Vao,NC,-22.6667,167.4833,clear sky,65,76.24,10,13.13,Nataiwatch
246,Eyl,SO,7.9803,49.8164,clear sky,73,76.39,5,15.66,فندق ايل دابي
258,Tawau,MY,4.2498,117.8871,overcast clouds,75,80.78,100,4.05,Soon Yee Hotel 
270,Beitbridge,ZW,-22.2167,30.0,clear sky,57,75.43,3,15.61,Beitbridge Inn & Casino
277,Cockburn Town,TC,21.4612,-71.1419,clear sky,76,76.51,4,11.92,The Salt Raker Inn
281,Pangai,TO,-19.8,-174.35,light rain,77,81.34,85,7.36,Meletonga Guesthouse
288,Manta,EC,-0.95,-80.7333,overcast clouds,81,75.11,88,6.8,Mantahost Hotel
291,Kupang,ID,-10.1667,123.5833,broken clouds,83,82.98,75,8.05,Sylvia Hotel
295,Luwuk,ID,-0.9516,122.7875,overcast clouds,69,84.88,100,1.63,Swiss Belinn Hotel Luwuk
303,Morant Bay,JM,17.8815,-76.4093,clear sky,83,76.62,0,7.18,Golden Shore Resort
305,Sampit,ID,-2.5333,112.95,overcast clouds,54,89.85,85,3.53,Hotel Sultan
323,Luganville,VU,-15.5333,167.1667,overcast clouds,78,79.48,96,4.92,Deco Stop Lodge
325,Dawei,MM,14.0833,98.2,clear sky,51,88.47,8,7.07,Best House
326,Meulaboh,ID,4.1363,96.1285,overcast clouds,67,83.01,99,3.4,Hotel Meuligou
327,Ko Samui,TH,9.5357,99.9357,overcast clouds,74,79.63,85,2.68,Anna Resort
328,Ewa Beach,US,21.3156,-158.0072,clear sky,64,78.85,0,10.36,Hampton Inn & Suites Oahu/Kapolei
347,Son La,VN,21.3167,103.9,scattered clouds,58,75.54,49,0.81,Khách sạn Mường Thanh Luxury Sơn La
350,Bonoua,CI,5.2741,-3.595,scattered clouds,91,80.22,39,0.56,Ore Luxe Hotel
358,Balikpapan,ID,-1.2675,116.8289,few clouds,70,85.19,20,5.75,Swiss-Bell Hotel
364,Grand Gaube,MU,-20.0064,57.6608,light rain,65,82.8,11,1.01,Hotel Lux- Grand Gaube
398,Kavieng,PG,-2.5744,150.7967,overcast clouds,72,83.5,91,4.16,Kavieng Niu Lodge
400,Makakilo City,US,21.3469,-158.0858,clear sky,64,77.45,0,10.36,Four Seasons O'ahu at Ko Olina
402,Mount Gambier,AU,-37.8333,140.7667,overcast clouds,29,80.33,100,10.04,Commodore on the Park
406,Cayenne,GF,4.9333,-52.3333,overcast clouds,94,75.24,100,2.3,Central Hôtel
416,Geraldton,AU,-28.7667,114.6,clear sky,50,79.21,0,16.11,Ocean Centre Hotel
420,Namatanai,PG,-3.6667,152.4333,overcast clouds,72,83.52,96,3.36,Namatanai Hotel
421,Omboue,GA,-1.5746,9.2618,broken clouds,87,76.35,57,4.97,Olako
426,Souillac,MU,-20.5167,57.5167,scattered clouds,69,82.78,40,12.66,Hotel SkylineInn
428,Takoradi,GH,4.8845,-1.7554,overcast clouds,88,76.75,85,2.19,Protea Hotel
430,Aden,YE,12.7794,45.0367,scattered clouds,68,76.82,37,9.64,فندق الكورنيش
432,Mitsamiouli,KM,-11.3847,43.2844,scattered clouds,71,81.59,39,2.71,Maludja Bungalows
439,Vanimo,PG,-2.6741,141.3028,overcast clouds,73,83.7,85,1.97,Vanimo Surf Lodge
442,Tual,ID,-5.6667,132.75,overcast clouds,75,81.52,87,9.46,Suita
443,Moa,CU,20.6569,-74.9403,few clouds,81,75.25,24,6.58,Hotel Miraflores
449,Bengkulu,ID,-3.8004,102.2655,broken clouds,68,82.58,78,6.93,Hotel Andalas Permai
459,Mackay,AU,-21.15,149.2,broken clouds,67,81.68,52,13.8,Mackay Oceanside Central Apartment Hotel
465,Hervey Bay,AU,-25.2986,152.8535,scattered clouds,62,79.03,35,18.7,Shelly Bay Resort
469,Port Macquarie,AU,-31.4333,152.9167,few clouds,59,77.9,12,11.52,ibis Styles Port Macquarie
475,Natal,BR,-5.795,-35.2094,scattered clouds,88,75.85,40,3.44,Holiday Inn Natal
483,Kulim,MY,5.365,100.5618,broken clouds,75,89.13,79,3.89,Hotel Seri Malaysia
488,Phan Thiet,VN,10.9333,108.1,overcast clouds,65,83.03,90,10.0,Khách sạn Khánh An
489,Dharmadam,IN,11.7833,75.4333,few clouds,42,81.68,11,1.05,Ezhara Beach House
492,Puerto Escondido,MX,15.85,-97.0667,clear sky,77,75.56,0,5.57,Hotel Paraiso Escondido
504,Itarema,BR,-2.9248,-39.9167,scattered clouds,80,77.22,44,8.7,Barraca Do Kite
510,Bosaso,SO,11.2842,49.1816,broken clouds,64,77.7,58,7.49,Hotel Daalo
517,Isangel,VU,-19.55,169.2667,broken clouds,66,80.8,66,5.79,Tanna Lodge
520,Bintulu,MY,3.1667,113.0333,broken clouds,76,82.24,83,3.49,168 Inn
525,Bathsheba,BB,13.2167,-59.5167,few clouds,78,79.41,20,14.97,Clifton Hall Great House
538,Ranau,MY,5.9538,116.6641,light rain,65,81.91,100,0.67,Huda Inn Ranau Correct location (April 2017)
539,Sur,OM,22.5667,59.5289,clear sky,67,76.95,0,8.93,Resort Sur Beach Hotel
550,Sukabumi,ID,-6.9181,106.9267,broken clouds,53,84.4,77,5.39,Rengganis Hotel
561,Banjar,ID,-8.19,114.9675,overcast clouds,64,83.34,100,2.19,Villa Banjar Beach
568,Myitkyina,MM,25.3833,97.4,clear sky,33,76.6,0,0.87,United
572,Robertsport,LR,6.7533,-11.3686,clear sky,82,78.55,1,1.97,Nana's Lodge
581,Puttur,IN,12.7667,75.2167,clear sky,31,80.71,5,2.84,Forum Comfort (lodge)
592,Montego Bay,JM,18.4712,-77.9188,few clouds,83,75.0,20,2.3,Sunscape Splash Montego Bay
594,Bhatkal,IN,13.9667,74.5667,clear sky,38,81.09,2,3.38,Sree Mahasati Store And Tea Hotel
607,Sambava,MG,-14.2667,50.1667,broken clouds,75,79.74,80,2.82,Orchidéa Beach II
609,Nelson Bay,AU,-32.7167,152.15,scattered clouds,62,77.11,30,3.0,Cote D Azur
616,Kendari,ID,-3.945,122.4989,overcast clouds,58,85.64,100,4.36,Same Hotel Kendari
619,Aranos,,-24.1333,19.1167,overcast clouds,27,76.69,85,8.86,Aranos Hotel
620,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,few clouds,83,76.75,18,7.02,Hotel Praia Azul
623,Inhambane,MZ,-23.865,35.3833,scattered clouds,64,78.8,41,10.4,Casa Jensen
628,Champerico,GT,14.3,-91.9167,scattered clouds,80,76.32,30,4.81,Posada Del Mar
632,Tucuman,AR,-26.8241,-65.2226,clear sky,50,78.8,0,13.8,Hotel Republica
635,Soyo,AO,-6.1349,12.3689,overcast clouds,90,77.25,99,5.35,Kwanda Hotel
636,Collie,AU,-33.3667,116.15,clear sky,18,88.23,0,4.0,Ridge Motel
665,Bitung,ID,1.4451,125.1824,overcast clouds,72,86.85,99,3.29,Divers Lodge Lembeh
668,Bubaque,GW,11.2833,-15.8333,overcast clouds,54,77.92,100,16.42,Casa Dora
693,Axim,GH,4.8699,-2.2405,overcast clouds,87,77.09,99,1.61,Ankrobra Beach hotel
696,Jitra,MY,6.2681,100.4217,overcast clouds,64,85.98,86,3.69,BDB Hotel
703,Bodden Town,KY,19.2833,-81.25,clear sky,80,76.93,6,12.53,Turtle Nest Inn
705,Tabuk,PH,17.4189,121.4443,broken clouds,68,78.84,67,3.47,Davidson Hotel
